language,id,text,file,node,lineNumber,lock,comment
en-US,line:067ae7f,"Mage: Time for a practical exercise, Apprentice!",Assets/Yarn/cutscenes.yarn,introductionDialogue,4,6cdc6223,
en-US,line:0f96668,Player: Hum...,Assets/Yarn/cutscenes.yarn,introductionDialogue,5,c0e1be10,
en-US,line:0a40fb3,"Mage: Do not look at me like that, this is not a typical book.",Assets/Yarn/cutscenes.yarn,introductionDialogue,6,90fc562c,
en-US,line:058ec34,"Player: Apologies, Teacher. I did not mean to doubt you.",Assets/Yarn/cutscenes.yarn,introductionDialogue,7,8016ce57,
en-US,line:087a09e,Mage: Apology accepted.,Assets/Yarn/cutscenes.yarn,introductionDialogue,8,c73ac045,
en-US,line:0d12b94,"Mage: Now, this book is an object of power, one of the most common ones.",Assets/Yarn/cutscenes.yarn,introductionDialogue,9,ba91999e,
en-US,line:0122312,"Mage: Generations ago, our forebears found a way to imprint the power of magical creatures into paper.",Assets/Yarn/cutscenes.yarn,introductionDialogue,10,c5bd231b,
en-US,line:0df565f,"Mage: Inside those pages, the essence of these powers remains, when the original creatures have long past away.",Assets/Yarn/cutscenes.yarn,introductionDialogue,11,2aa951bf,
en-US,line:058832b,Player: How is it sustained?,Assets/Yarn/cutscenes.yarn,introductionDialogue,12,615ca195,
en-US,line:0407349,"Mage: Oh, Apprentice, you have much to learn before you can comprehend the answer to this question!",Assets/Yarn/cutscenes.yarn,introductionDialogue,13,cfccb7bd,
en-US,line:0ff3adc,"Mage: For now, please focus on learning how to use the book.",Assets/Yarn/cutscenes.yarn,introductionDialogue,14,a739b351,
en-US,line:04740c1,"Player: Of course, Teacher.",Assets/Yarn/cutscenes.yarn,introductionDialogue,15,fa6b8f20,
en-US,line:0b093f0,"Mage: Most pages describe a creature. By reading the incantation on the page, you will harness the corresponding power.",Assets/Yarn/cutscenes.yarn,introductionDialogue,16,ff48848f,
en-US,line:0385f4f,"Player: Is it similar to a spell, then?",Assets/Yarn/cutscenes.yarn,introductionDialogue,17,7431f309,
en-US,line:06b8e54,"Mage: In a way. You could think of it as a precast spell, that you only need to direct onto a target.",Assets/Yarn/cutscenes.yarn,introductionDialogue,18,82abf510,
en-US,line:0a412d8,Mage: Your ability to shape the magic with intent will be limited.,Assets/Yarn/cutscenes.yarn,introductionDialogue,19,b1caa9f8,
en-US,line:01be8bb,"Mage: But in exchange, you will not need to power the incantation from your own reserves.",Assets/Yarn/cutscenes.yarn,introductionDialogue,20,80c47e44,
en-US,line:0d36a60,Player: How many incantations does the book hold?,Assets/Yarn/cutscenes.yarn,introductionDialogue,21,974e69af,
en-US,line:0b38f41,"Mage: This one specifically contains five creatures... or rather, five power imprints.",Assets/Yarn/cutscenes.yarn,introductionDialogue,22,40a783bb,
en-US,line:0c90d76,"Mage: Most usually enclose between three and twelve incantations, depending on the creatures used to create them.",Assets/Yarn/cutscenes.yarn,introductionDialogue,23,0d84855e,
en-US,line:01b5a04,"Mage: Nevertheless, do not plan on relying on them for everything, Apprentice!",Assets/Yarn/cutscenes.yarn,introductionDialogue,24,e848bf48,
en-US,line:032d2f9,Mage: The Guild has only ever managed to capture the power of two dozen species using this method.,Assets/Yarn/cutscenes.yarn,introductionDialogue,25,d084e4a5,
en-US,line:01cdc76,"Player: So no matter how many books have been made, we only have access to twenty-four different self-fuelling incantations?",Assets/Yarn/cutscenes.yarn,introductionDialogue,26,f50c8c30,
en-US,line:0c3445f,"Mage: Twenty-five, to be exact. But essentially, that is correct.",Assets/Yarn/cutscenes.yarn,introductionDialogue,27,4e5efcf1,
en-US,line:0d76cd1,Mage: Are you ready to make your first attempt?,Assets/Yarn/cutscenes.yarn,introductionDialogue,28,1e20cc40,
en-US,line:02afd94,Player: I am ready.,Assets/Yarn/cutscenes.yarn,introductionDialogue,29,fdfc8e92,
en-US,line:02b337d,"Mage: Very well. Your task is to destroy this pile of battered grimoires on the lawn, and leave the grass as pristine as it currently is.",Assets/Yarn/cutscenes.yarn,introductionDialogue,30,b47e7235,
en-US,line:0bbd7fd,Mage: I suspect you will need to use three incantations from the book to accomplish this.,Assets/Yarn/cutscenes.yarn,introductionDialogue,31,8ff48d10,
en-US,line:0c0e616,Mage: I will be in the library when you are done.,Assets/Yarn/cutscenes.yarn,introductionDialogue,32,a2b2dc87,
en-US,line:0a28153,"Player: Thank you, Teacher. I will try my best.",Assets/Yarn/cutscenes.yarn,introductionDialogue,33,75f078e4,
en-US,line:0e03ad1,"Mage: Oh, I do not expect you to encounter difficulties.",Assets/Yarn/cutscenes.yarn,introductionDialogue,34,9d528d3a,
en-US,line:02d3f12,"Mage: Just make sure not to mangle the lawn, or I will have you elbow deep in manure brewing fertiliser for the foreseeable future.",Assets/Yarn/cutscenes.yarn,introductionDialogue,35,251f0875,
en-US,line:036c996,Player: Teacher? I have finished.,Assets/Yarn/cutscenes.yarn,endingObedient,41,456da89e,
en-US,line:0ca2122,Mage: Have you? Are the books gone?,Assets/Yarn/cutscenes.yarn,endingObedient,42,ae709745,
en-US,line:0eded2e,"Player: They are, Teacher. And the grass is green and lush.",Assets/Yarn/cutscenes.yarn,endingObedient,43,70047afe,
en-US,line:013d17d,"Mage: Good, good. I knew this would pose no challenge to you.",Assets/Yarn/cutscenes.yarn,endingObedient,44,7ab5fbea,
en-US,line:0a429dd,"Player: I wonder, Teacher...",Assets/Yarn/cutscenes.yarn,endingObedient,45,15cb1a80,
en-US,line:0dacca1,Mage: Yes?,Assets/Yarn/cutscenes.yarn,endingObedient,46,fc809ced,
en-US,line:0b827d0,"Player: When I first leafed through the book, it reacted bizarrely.",Assets/Yarn/cutscenes.yarn,endingObedient,47,9bd0a765,
en-US,line:0aa5198,"Player: The drawing of one of the creatures started moving, and I could have sworn I heard a voice.",Assets/Yarn/cutscenes.yarn,endingObedient,48,6cb26fe0,
en-US,line:077e978,"Player: It was the page for the fire demon, if I remember well.",Assets/Yarn/cutscenes.yarn,endingObedient,49,da893be4,
en-US,line:0c32c8a,"Mage: Ha, that is of no concern!",Assets/Yarn/cutscenes.yarn,endingObedient,50,44cb2f93,
en-US,line:0bea12c,"Mage: Magically charged object, stored in a magically saturated environment...",Assets/Yarn/cutscenes.yarn,endingObedient,51,1e393b48,
en-US,line:000807a,Mage: Some quirks are to be expected.,Assets/Yarn/cutscenes.yarn,endingObedient,52,382919b6,
en-US,line:09b3348,"Mage: I will have a look at the book, nonetheless, if it will put your mind at rest.",Assets/Yarn/cutscenes.yarn,endingObedient,53,57c63192,
en-US,line:0ad3fbc,"Mage: Now run along, I believe it is time for your daily calligraphy lesson.",Assets/Yarn/cutscenes.yarn,endingObedient,54,8f7b3821,
en-US,line:0b376e8,Mage: Your younger Futhark still leaves much to be desired.,Assets/Yarn/cutscenes.yarn,endingObedient,55,d3029ff7,
en-US,line:0829a08,"Player: Of course, Teacher.",Assets/Yarn/cutscenes.yarn,endingObedient,56,fa6b8f20,
en-US,line:073f548,"Three-and-one: And so, and so, and so, they were born, to live, and perish anew.",Assets/Yarn/cutscenes.yarn,endingRebel,62,7370eb58,
en-US,line:0c42398,"Domestic Troll: If you'll excuse me, I have to find my way home before my humans burn the house down.",Assets/Yarn/cutscenes.yarn,endingRebel,63,b70347f4,
en-US,line:00552ee,Domestic Troll: Again.,Assets/Yarn/cutscenes.yarn,endingRebel,64,6802cd02,
en-US,line:0dcb497,"Fire Demon: Right, scampering away already, not even a thank you to the one who set things in motions!",Assets/Yarn/cutscenes.yarn,endingRebel,65,b0750036,
en-US,line:00f9a1f,"Laundry Fae: Of course, our thanks, young human. May your clothes always sing.",Assets/Yarn/cutscenes.yarn,endingRebel,66,691702bf,
en-US,line:0e76d55,"Fire Demon: I meant me, but yes, why not, I guess they are alright, for a magic-stealing human.",Assets/Yarn/cutscenes.yarn,endingRebel,67,ed1d5b1e,
en-US,line:039f2bb,Player: You're welcome.,Assets/Yarn/cutscenes.yarn,endingRebel,68,fbef624f,
en-US,line:034db86,Player: Was the Blood Tree not freed with the rest of you?,Assets/Yarn/cutscenes.yarn,endingRebel,69,5fa9fa47,
en-US,line:0dc89f2,"Three-and-one: Trees, trees, trees, rooted into the earth is their path.",Assets/Yarn/cutscenes.yarn,endingRebel,70,65e0884d,
en-US,line:0e0cb54,"Three-and-one: They are where they are born to be, where they thrive and suffer, where they will give be to the earth.",Assets/Yarn/cutscenes.yarn,endingRebel,71,f9d3996d,
en-US,line:0817f63,"Fire Demon: Yes, well, charming reunion and all, but I have places to be, things to burn, the usual story.",Assets/Yarn/cutscenes.yarn,endingRebel,72,2c14cbbd,
en-US,line:05ca30a,Fire Demon: Never liked book remains as a fuel. It just tastes... wrong.,Assets/Yarn/cutscenes.yarn,endingRebel,73,0b121279,
